DATA_REFERENCIA;PD;IBC_BR;PRODUCAO_INDUSTRIAL;SLD_CREDITO_TOTAL_BRASIL_BI;TAXA_SELIC_MES_VAR_ACUM;CDI_OVER_MES_VAR_ACUM;TAXA_CAMBIO;IPCA;INCC_DI;IBOVESPA;TAXA_DESEMPREGO;COMPROMETIMENTO_RENDA;ENDIVIDAMENTO_FAMILIA
01/01/2015;0,047921457;138,83;102,66304;3021,47;0,935079974;0,929345968;2,634228;1,24;0,917510173;46907,68;7,242305039;24,29;39,67
02/01/2015;0,048176758;136,63;97,57125;3033,5;0,822413931;0,818524439;2,81645;1,22;0,308251089;51583,09;7,395835794;24,52;39,7
03/01/2015;0,048583437;149,58;109,92777;3070,62;1,039971839;1,036124188;3,139477;1,32;0,621640142;51150,16;7,508734529;24,47;39,79
04/01/2015;0,0489699;142,52;103,51269;3070,71;0,951795536;0,948274923;3,04322;0,71;0,457051465;56229,38;7,600731907;24,61;40,08
05/01/2015;0,049262878;139,92;108,44442;3092,37;0,985332157;0,983844539;3,061715;0,74;0,953143708;52760,48;7,984138679;24,51;40,08
06/01/2015;0,048924908;138,63;107,78466;3109,97;1,066677888;1,065829976;3,111738;0,79;1,835400536;53080,88;8,29359917;24,6;40,14
07/01/2015;0,049606692;143,26;111,24612;3119,1;1,178199036;1,177316418;3,223143;0,62;0,54721177;50864,77;8,548056194;24,64;40,42
08/01/2015;0,050654163;140,93;113,73341;3143,99;1,10896381;1,107487433;3,514304;0,22;0,589156023;46625,52;8,835513733;24,76;40,61
09/01/2015;0,053059205;138,16;109,91113;3174,09;1,10896381;1,107487433;3,906457;0,54;0,218161221;45059,34;9,095329461;25,09;40,84
10/01/2015;0,057328835;140,3;113,31974;3166,77;1,10896381;1,107733505;3,880138;0,82;0,358514764;45868,82;9,311800044;24,71;40,85
11/01/2015;0,058401391;136,04;102,02329;3186,59;1,055878217;1,055175577;3,77646;1,01;0,338358951;45120,36;9,677402132;24,19;40,57
12/01/2015;0,057351407;136,33;89,97213;3229,58;1,162077289;1,161303574;3,871136;0,96;0,10392542;43349,96;9,712767835;23,38;40,07
01/01/2016;0,05747877;128,22;88,87564;3208,12;1,055878217;1,054929633;4,05235;1,27;0,391703224;40405,99;9,950288547;23,64;40,09
02/01/2016;0,056781795;130,77;88,35558;3192,29;1,002820496;1,001486127;3,973742;0,9;0,537622035;42793,86;10,21198803;23,69;39,78
03/01/2016;0,056450576;140,24;97,51803;3170,85;1,162077289;1,160529796;3,703918;0,43;0,638369632;50055,27;10,47479184;23,98;39,61
04/01/2016;0,056307177;135,99;96,72772;3150,82;1,055878217;1,054472881;3,565845;0,61;0,547580848;53910,51;10,79887509;23,94;39,31
05/01/2016;0,059898989;133,53;100,51023;3157,8;1,10896381;1,107487433;3,53929;0,78;0,083401578;48471,71;11,03554215;24,12;39,21
06/01/2016;0,055190891;135,24;102,14944;3140,23;1,162077289;1,160529796;3,424477;0,35;1,930350658;51526,93;11,32931434;24,17;39,06
07/01/2016;0,055576969;136,67;104,43092;3126,7;1,10896381;1,107487433;3,275566;0,52;0,492445522;57308,21;11,60791886;24,08;38,86
08/01/2016;0,053844769;138,14;108,37187;3125,54;1,21521867;1,213599987;3,20966;0,44;0,294960949;57901,11;11,87863324;24,12;38,77
09/01/2016;0,047002963;133,85;105,65274;3121,96;1,10896381;1,107487433;3,256371;0,08;0,33281702;58367,05;12,02385415;24,19;38,53
10/01/2016;0,047496849;132,71;105,07812;3105,53;1,048844644;1,047438172;3,185845;0,26;0,214027265;64924,52;12,15150168;24,17;38,25
11/01/2016;0,051627892;132,34;100,76965;3114,59;1,038295202;1,036887026;3,34203;0,18;0,16309525;61906,36;12,53862421;23,93;38,26
12/01/2016;0,055720457;133,27;90,00232;3117,81;1,123315516;1,12176181;3,352268;0,3;0,346340774;60227,29;12,78736;23,5;38,16
01/01/2017;0,053244634;128,57;90,76173;3086,12;1,086125385;1,084565684;3,196609;0,38;0,407410902;64670,78;12,96946741;23,4;38,06
02/01/2017;0,05277626;129,47;88,41199;3083,04;0,865089791;0,863812449;3,104194;0,33;0,653664685;66662,1;13,11306419;23,17;37,96
03/01/2017;0,052896878;141,98;99,55177;3090,45;1,052060215;1,05041532;3,12793;0,25;0,157400253;64984,07;13,23639266;23,1;37,87
04/01/2017;0,052131847;133,84;92,42064;3082,41;0,78658585;0,785295502;3,136172;0,14;-0,023802354;65403,25;13,19953657;22,68;37,52
05/01/2017;0,050502432;136,1;105,02557;3077,59;0,927140613;0,92555504;3,209509;0,31;0,633924422;62711,47;13,1318085;22,24;37,43
06/01/2017;0,049313142;135;103,06748;3090,21;0,808861142;0,808098447;3,295366;-0,23;0,931072422;62899,97;13,01096588;22,33;37,36
07/01/2017;0,048545077;138,52;107,34819;3065,06;0,797916786;0,797153175;3,206138;0,24;0,304717473;65920,36;12,84958079;22,56;37,36
08/01/2017;0,04739835;140,24;112,64103;3063,77;0,802295178;0,801452247;3,150917;0,19;0,356019174;70835,05;12,66068397;22,84;37,41
09/01/2017;0,04831021;134,94;108,34912;3063,64;0,638456105;0,637718899;3,13479;0,16;0,062562773;74293,51;12,65772446;23,01;37,28
10/01/2017;0,048931674;136,19;138;3068,52;0,643926418;0,643149857;3,191228;0,42;0,307992093;74308,49;12,50376738;22,73;37,33
11/01/2017;0,048995438;135,21;105,5798;3080,36;0,568195412;0,567452214;3,25938;0,28;0,310819857;71970,99;12,64845985;22,54;37,4
12/01/2017;0,039561323;135,9;94,39374;3105,28;0,538403774;0,537658016;3,291915;0,44;0,073145144;76402,08;12,50219582;22,34;37,25
01/01/2018;0,038617766;132,25;95,85064;3080,95;0,584207775;0,583386303;3,210609;0,29;0,30893417;84912,7;12,51938169;22,24;37,33
02/01/2018;0,037981982;130,06;90,04273;3074,29;0,465599421;0,464926963;3,2415;0,32;0,127551197;85353,6;12,52375294;22,24;37,33
03/01/2018;0,038151735;141,71;100,49774;3094,37;0,53234298;0,531556887;3,279214;0,09;0,24244054;85365,6;12,61892153;22,44;37,36
04/01/2018;0,038238452;139,23;100,77646;3103,46;0,518300143;0,517512842;3,407495;0,22;0,287901898;86115,5;12,56033994;22,6;37,58
05/01/2018;0,03876315;132,43;98,36;3117,54;0,518300143;0,517512842;3,636057;0,4;0,231370089;76753,6;12,57790723;22,74;37,85
06/01/2018;0,033322449;137,11;106,10223;3138,82;0,518300143;0,517512842;3,773171;1,26;0,9713546;72762,5;12,48972966;22,99;37,94
07/01/2018;0,034040003;141,24;111,61924;3134,43;0,543047999;0,542223004;3,828763;0,33;0,613501112;79220,4;12,40604016;22,75;37,91
08/01/2018;0,034498911;143,58;114,4615;3166,29;0,567801947;0,566939241;3,929756;-0,09;0,14841155;76677,5;12,24691297;22,51;38,09
09/01/2018;0,035573866;135,95;105,73437;3181,52;0,468822705;0,468110735;4,116547;0,48;0,232833908;79342,4;12,10850318;22,46;38,11
10/01/2018;0,034334103;140,04;111,61565;3177,08;0,543047999;0,543047999;3,758409;0,45;0,345471837;87423,6;12,05352269;22,47;38,36
11/01/2018;0,035622616;137,84;104,28134;3212,37;0,493558379;0,493558379;3,786665;-0,21;0,134298382;89504;12,16455598;22,69;38,8
12/01/2018;0,03628098;136,49;90,84141;3264,92;0,493558379;0,493558379;3,885055;0,15;0,133044243;87887,3;12,28206271;23;39,03
01/01/2019;0,03536662;133,71;94,02286;3237,08;0,543047999;0,543047999;3,741681;0,32;0,490845418;97393,7;12,37237103;23,06;39,29
02/01/2019;0,034879426;134,05;92,15176;3247,4;0,493558379;0,493558379;3,723625;0,43;0,088456966;95584,4;12,3543974;23,04;39,54
03/01/2019;0,034273648;139,19;94,39633;3273;0,468822705;0,468822705;3,846484;0,75;0,312458343;95414,6;12,30001664;23,17;39,59
04/01/2019;0,034394871;139,85;97,12618;3272,57;0,518300143;0,518300143;3,896157;0,57;0,378592576;96353,3;12,23582199;23,73;39,82
05/01/2019;0,035764082;139,6;106,03589;3291,21;0,543047999;0,543047999;4,001518;0,13;0,033361002;97030,3;12,23056814;24,12;40,11
06/01/2019;0,035994856;135,3;99,98849;3301,61;0,468822705;0,468822705;3,858826;0,01;0,883904053;100967,2;12,05727592;25,15;40,56
07/01/2019;0,036708357;143,34;108,88426;3296,19;0,567801947;0,567801947;3,779339;0,19;0,576541642;101812,1;11,92613948;25,02;40,73
